"order_id"	"item_id"	"product_id"	"quantity"	"unit_price"
"1"	"1"	"137"	"116"	"46999"
"1"	"2"	"78"	"77"	"68699"
"1"	"3"	"64"	"52"	"52599"
"1"	"4"	"210"	"87"	"102999"
"1"	"5"	"138"	"131"	"64599"
"1"	"6"	"126"	"95"	"64099"
"1"	"7"	"30"	"41"	"6452"
"1"	"8"	"170"	"129"	"38398"
"1"	"9"	"196"	"139"	"109999"
"1"	"10"	"64"	"147"	"52599"
"1"	"11"	"169"	"105"	"184489"
"1"	"12"	"226"	"103"	"30985"
"1"	"13"	"178"	"121"	"199989"
"2"	"1"	"43"	"111"	"29898"
"2"	"2"	"265"	"121"	"143199"
"2"	"3"	"195"	"39"	"105599"
"2"	"4"	"18"	"49"	"799"
"2"	"5"	"160"	"30"	"190873"
"2"	"6"	"182"	"95"	"94989"
"2"	"7"	"204"	"100"	"68699"
"2"	"8"	"141"	"97"	"41999"
"2"	"9"	"200"	"75"	"62095"
"3"	"1"	"24"	"111"	"6689"
"3"	"2"	"56"	"65"	"1699"
"3"	"3"	"28"	"63"	"47999"
"3"	"4"	"64"	"46"	"52599"
"3"	"5"	"107"	"112"	"644"
"3"	"6"	"36"	"81"	"129999"
"3"	"7"	"125"	"73"	"76899"
"3"	"8"	"190"	"127"	"94899"
"4"	"1"	"280"	"47"	"14988"
"4"	"2"	"137"	"75"	"46999"
"4"	"3"	"7"	"140"	"68099"
"4"	"4"	"287"	"60"	"32999"
"4"	"5"	"20"	"80"	"71999"
"4"	"6"	"159"	"96"	"199449"
"4"	"7"	"262"	"79"	"144999"
"4"	"8"	"18"	"116"	"799"
"5"	"1"	"149"	"70"	"28298"
"5"	"2"	"15"	"45"	"72599"
"5"	"3"	"216"	"82"	"86398"
"5"	"4"	"31"	"77"	"44372"
"5"	"5"	"31"	"78"	"44372"
"6"	"1"	"199"	"67"	"64799"
"6"	"2"	"138"	"41"	"64599"
"6"	"3"	"94"	"90"	"1555"
"6"	"4"	"258"	"145"	"5798"
"6"	"5"	"11"	"74"	"201511"
"6"	"6"	"89"	"150"	"74999"
"6"	"7"	"7"	"119"	"68099"
"7"	"1"	"227"	"74"	"305"
"7"	"2"	"230"	"49"	"13669"
"8"	"1"	"87"	"92"	"75999"
"8"	"2"	"12"	"70"	"82498"
"8"	"3"	"71"	"87"	"660"
"8"	"4"	"25"	"40"	"10488"
"8"	"5"	"284"	"118"	"5499"
"8"	"6"	"127"	"34"	"71999"
"8"	"7"	"16"	"135"	"88989"
"8"	"8"	"100"	"68"	"9788"
"8"	"9"	"268"	"148"	"4788"
"9"	"1"	"108"	"139"	"84999"
"9"	"2"	"99"	"123"	"6806"
"9"	"3"	"265"	"90"	"143199"
"9"	"4"	"288"	"62"	"31999"
"9"	"5"	"145"	"58"	"287"
"9"	"6"	"14"	"48"	"70499"
"9"	"7"	"124"	"117"	"59499"
"9"	"8"	"93"	"132"	"211672"
"10"	"1"	"145"	"118"	"287"
"10"	"2"	"10"	"102"	"81199"
"10"	"3"	"182"	"83"	"94989"
"10"	"4"	"172"	"133"	"35849"
"10"	"5"	"218"	"68"	"138889"
"10"	"6"	"64"	"96"	"52599"
"10"	"7"	"127"	"52"	"71999"
"10"	"8"	"18"	"124"	"799"
"10"	"9"	"119"	"107"	"89999"
"11"	"1"	"96"	"113"	"14156"
"11"	"2"	"40"	"79"	"29989"
"12"	"1"	"191"	"41"	"57399"
"12"	"2"	"63"	"58"	"57296"
"12"	"3"	"42"	"75"	"29989"
"12"	"4"	"144"	"70"	"28979"
"12"	"5"	"208"	"133"	"119999"
"12"	"6"	"236"	"114"	"74532"
"12"	"7"	"141"	"110"	"41999"
"12"	"8"	"256"	"85"	"2699"
"12"	"9"	"282"	"117"	"80499"
"12"	"10"	"210"	"37"	"102999"
"12"	"11"	"169"	"114"	"184489"
"12"	"12"	"96"	"120"	"14156"
"13"	"1"	"84"	"46"	"4403"
"13"	"2"	"85"	"82"	"127499"
"13"	"3"	"240"	"80"	"180597"
"13"	"4"	"30"	"60"	"6452"
"13"	"5"	"167"	"89"	"101046"
"13"	"6"	"1"	"127"	"64099"
"13"	"7"	"39"	"67"	"30199"
"13"	"8"	"1"	"95"	"64099"
"13"	"9"	"225"	"137"	"50398"
"13"	"10"	"245"	"138"	"1699"
"14"	"1"	"129"	"98"	"73499"
"14"	"2"	"206"	"133"	"4139"
"14"	"3"	"231"	"87"	"44999"
